,source,target,total_freq,2008-10-01,2008-10-15,2008-10-29,2008-11-12,2008-11-26,2008-12-10,2008-12-24,2009-01-07,2009-01-21,2009-02-04,2009-02-18,2009-03-04,2009-03-18,2009-04-01,2009-04-15,2009-04-29,2009-05-13,2009-05-27,2009-06-10,2009-06-24
362,70.0,54.0,30,0,6,12,12,12,12,12,12,12,22,22,24,24,27,28,28,30,30,30,30
363,71.0,18.0,5,0,0,0,0,0,0,0,0,1,1,4,5,5,5,5,5,5,5,5,5
364,71.0,20.0,4,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4
365,71.0,30.0,14,0,1,1,2,2,3,3,3,3,4,5,5,5,5,5,5,5,12,14,14
366,71.0,36.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
367,71.0,41.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
368,71.0,42.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2
369,71.0,44.0,10,0,1,1,3,8,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10
370,71.0,46.0,11,0,0,0,2,3,4,4,4,6,6,10,10,10,11,11,11,11,11,11,11
371,71.0,77.0,204,0,6,18,25,47,52,72,82,112,129,137,144,156,159,161,185,191,194,203,204
372,72.0,18.0,21,0,0,0,5,5,5,14,15,15,15,17,17,17,17,18,18,19,19,21,21
373,72.0,19.0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,6,6
374,72.0,22.0,2,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2
375,72.0,23.0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
376,72.0,50.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
377,72.0,65.0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
378,72.0,78.0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
379,74.0,47.0,2,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
380,75.0,23.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,3
